month,type,count,sum,max,over10000
2020-01,洛天依,668,5826221,3722166,42
2020-01,言和,195,974251,203581,21
2020-01,乐正绫,246,1058742,203581,22
2020-01,乐正龙牙,96,588334,203581,11
2020-01,徵羽摩柯,83,113769,30913,3
2020-01,墨清弦,43,174980,65495,4
2020-01,星尘,176,577442,68817,13
2020-01,海伊,153,304535,68817,5
2020-01,苍穹,62,1181871,919751,8
2020-01,赤羽,149,449758,80510,8
2020-01,诗岸,92,333222,65495,8
2020-01,星尘Minus,1,215,215,0
2020-01,牧心,0,0,0,0
2020-01,艾可,15,3454,991,0
2020-01,心华,84,290661,65495,7
2020-01,悦成,4,66712,65495,1
2020-01,章楚楚,0,0,0,0
2020-01,初音未来,198,3261724,2126776,19
2020-01,VOCALOID,1793,12932836,3722166,143
2020-01,Synthesizer V,472,2273055,919751,29
2020-01,Vsinger,1331,8736297,3722166,103
2020-01,五维介质,633,2847043,919751,42
2020-01,总计,2265,15205891,3722166,172
2020-02,洛天依,808,4462921,653592,70
2020-02,言和,252,1264336,235902,24
2020-02,乐正绫,315,1610311,235902,27
2020-02,乐正龙牙,149,483539,108904,11
2020-02,徵羽摩柯,86,322646,108904,6
2020-02,墨清弦,66,269714,108904,5
2020-02,星尘,213,1008919,235902,17
2020-02,海伊,164,419209,94179,7
2020-02,苍穹,78,511239,106702,9
2020-02,赤羽,195,875774,196946,17
2020-02,诗岸,134,547412,106702,10
2020-02,星尘Minus,0,0,0,0
2020-02,牧心,0,0,0,0
2020-02,艾可,7,618,145,0
2020-02,心华,176,518947,108904,11
2020-02,悦成,1,278,278,0
2020-02,章楚楚,3,974,560,0
2020-02,初音未来,285,1432768,917003,16
2020-02,VOCALOID,2354,11375353,917003,187
2020-02,Synthesizer V,578,2354252,196946,43
2020-02,Vsinger,1676,8413467,653592,143
2020-02,五维介质,784,3362553,235902,60
2020-02,总计,2932,13729605,917003,230
2020-03,洛天依,773,5764031,1050303,68
2020-03,言和,256,1521516,293843,29
2020-03,乐正绫,303,1342011,293843,23
2020-03,乐正龙牙,110,474421,180273,11
2020-03,徵羽摩柯,77,294981,180273,4
2020-03,墨清弦,60,691901,293843,7
2020-03,星尘,213,395488,180273,4
2020-03,海伊,152,322413,94659,5
2020-03,苍穹,94,153887,41248,3
2020-03,赤羽,192,466813,111051,7
2020-03,诗岸,141,212018,39780,4
2020-03,星尘Minus,0,0,0,0
2020-03,牧心,0,0,0,0
2020-03,艾可,12,6277,2090,0
2020-03,心华,124,579745,250214,6
2020-03,悦成,3,652,330,0
2020-03,章楚楚,2,427,268,0
2020-03,初音未来,326,794822,267884,13
2020-03,VOCALOID,2247,11859995,1050303,165
2020-03,Synthesizer V,591,1161408,111051,19
2020-03,Vsinger,1579,10088861,1050303,142
2020-03,五维介质,792,1550619,180273,23
2020-03,总计,2838,13021403,1050303,184
2020-04,洛天依,680,6507289,3327903,38
2020-04,言和,233,890227,435767,10
2020-04,乐正绫,417,1672513,303500,31
2020-04,乐正龙牙,121,153572,50328,3
2020-04,徵羽摩柯,79,561585,291158,6
2020-04,墨清弦,69,27905,7659,0
2020-04,星尘,175,653895,291158,7
2020-04,海伊,130,79413,12563,1
2020-04,苍穹,118,1703507,1551753,5
2020-04,赤羽,185,577949,150964,10
2020-04,诗岸,126,121350,20798,4
2020-04,星尘Minus,0,0,0,0
2020-04,牧心,0,0,0,0
2020-04,艾可,13,33508,30762,1
2020-04,心华,99,114413,54096,2
2020-04,悦成,2,1118,978,0
2020-04,章楚楚,0,0,0,0
2020-04,初音未来,252,944018,616529,9
2020-04,VOCALOID,2127,11526535,3327903,106
2020-04,Synthesizer V,572,2515727,1551753,21
2020-04,Vsinger,1599,9813091,3327903,88
2020-04,五维介质,734,3136114,1551753,27
2020-04,总计,2699,14042262,3327903,127
2020-05,洛天依,697,3044260,518228,36
2020-05,言和,178,230308,25472,6
2020-05,乐正绫,208,380319,71215,8
2020-05,乐正龙牙,87,508200,235713,8
2020-05,徵羽摩柯,43,136494,102664,3
2020-05,墨清弦,72,132964,38291,4
2020-05,星尘,129,362616,82390,5
2020-05,海伊,83,105659,54328,1
2020-05,苍穹,88,231479,42709,7
2020-05,赤羽,136,361374,54328,8
2020-05,诗岸,89,111309,42709,1
2020-05,星尘Minus,0,0,0,0
2020-05,牧心,0,0,0,0
2020-05,艾可,7,6657,3392,0
2020-05,心华,83,123472,40193,2
2020-05,悦成,3,280,202,0
2020-05,章楚楚,3,595,534,0
2020-05,初音未来,220,315119,86539,4
2020-05,VOCALOID,1723,5234627,518228,76
2020-05,Synthesizer V,403,816478,54328,17
2020-05,Vsinger,1285,4432545,518228,65
2020-05,五维介质,525,1172437,82390,22
2020-05,总计,2126,6051105,518228,93
2020-06,洛天依,461,1075781,96513,26
2020-06,言和,141,679641,195773,10
2020-06,乐正绫,157,335617,78078,8
2020-06,乐正龙牙,68,374695,96513,6
2020-06,徵羽摩柯,37,173248,78078,3
2020-06,墨清弦,23,119270,78078,2
2020-06,星尘,103,332076,80863,8
2020-06,海伊,70,522301,465490,3
2020-06,苍穹,53,226056,80863,5
2020-06,赤羽,111,246090,80863,5
2020-06,诗岸,76,76315,15833,1
2020-06,星尘Minus,0,0,0,0
2020-06,牧心,0,0,0,0
2020-06,艾可,4,1092,742,0
2020-06,心华,68,82909,35724,1
2020-06,悦成,5,598,158,0
2020-06,章楚楚,4,454,158,0
2020-06,初音未来,160,432673,91147,8
2020-06,VOCALOID,1227,3606962,195773,72
2020-06,Synthesizer V,314,1071854,465490,14
2020-06,Vsinger,887,2758252,195773,55
2020-06,五维介质,413,1402838,465490,22
2020-06,总计,1541,4678816,465490,86
2020-07,洛天依,690,3565613,366164,46
2020-07,言和,223,1279652,178113,21
2020-07,乐正绫,173,512690,134242,9
2020-07,乐正龙牙,61,208550,86177,4
2020-07,徵羽摩柯,33,106092,86177,2
2020-07,墨清弦,31,207861,110802,3
2020-07,星尘,107,75245,18796,1
2020-07,海伊,149,279008,71239,5
2020-07,苍穹,65,88927,20424,1
