#,id,added,aid,view,danmaku,reply,favorite,coin,share,like
1,5069209,1649757706,213051976,411,28,124,158,259,31,249
2,5069216,1649757766,213051976,411,56,194,259,437,59,508
3,5069223,1649757826,213051976,689,80,238,335,550,83,656
4,5069230,1649757886,213051976,963,111,282,415,705,103,721
5,5069237,1649757946,213051976,1241,134,313,478,808,127,874
6,5069244,1649758006,213051976,1571,156,344,559,946,147,1090
7,5069251,1649758066,213051976,1571,175,372,627,1064,162,1254
8,5069258,1649758126,213051976,1878,197,404,699,1177,179,1398
9,5069265,1649758186,213051976,2169,215,428,758,1259,200,1521
10,5069272,1649758246,213051976,2475,234,458,819,1359,211,1638
11,5069279,1649758306,213051976,2475,258,473,859,1445,225,1770
12,5069286,1649758366,213051976,2782,274,500,910,1541,242,1886
13,5069293,1649758426,213051976,3116,295,520,957,1618,258,1933
14,5069300,1649758486,213051976,3423,306,539,1011,1713,272,2028
15,5069307,1649758546,213051976,3663,317,558,1040,1770,282,2141
16,5069314,1649758606,213051976,3663,328,579,1097,1858,291,2153
17,5069321,1649758666,213051976,3948,348,597,1134,1921,300,2241
18,5069328,1649758726,213051976,4216,357,613,1179,1982,311,2472
19,5069335,1649758786,213051976,4499,370,633,1213,2039,317,2566
20,5069342,1649758846,213051976,4753,384,654,1249,2114,327,2640
21,5069349,1649758906,213051976,4753,395,679,1289,2167,332,2714
22,5069356,1649758966,213051976,5013,406,699,1327,2236,343,2816
23,5069363,1649759026,213051976,5302,415,738,1363,2280,358,2841
24,5069370,1649759086,213051976,5599,426,763,1386,2305,369,2926
25,5069377,1649759146,213051976,5884,434,780,1432,2367,378,3008
26,5069384,1649759206,213051976,5884,441,803,1467,2413,386,3035
27,5069391,1649759266,213051976,6485,448,811,1506,2470,391,3209
28,5069398,1649759326,213051976,7472,456,822,1546,2526,399,3440
29,5069405,1649759386,213051976,8811,462,848,1587,2582,404,3618
30,5069412,1649759446,213051976,10303,467,861,1632,2647,411,3802
31,5069419,1649759506,213051976,10303,474,874,1690,2713,419,3984
32,5069426,1649759566,213051976,11919,483,881,1727,2754,425,4196
33,5069433,1649759626,213051976,13842,494,889,1780,2826,436,4257
34,5069440,1649759686,213051976,15895,510,906,1832,2877,445,4485
35,5069447,1649759746,213051976,17929,518,919,1880,2922,451,4703
36,5069454,1649759806,213051976,17929,527,935,1916,2968,458,4782
37,5069461,1649759866,213051976,19939,539,946,1967,3016,470,4785
38,5069468,1649759926,213051976,21894,554,960,2007,3063,472,5391
39,5069475,1649759986,213051976,24072,561,970,2048,3119,476,5723
40,5069482,1649760046,213051976,26326,570,982,2090,3161,486,5960
41,5069489,1649760106,213051976,26326,578,990,2139,3206,494,6211
42,5069496,1649760166,213051976,28639,588,1000,2180,3257,502,6440
43,5069503,1649760226,213051976,30981,594,1021,2235,3307,505,6667
44,5069510,1649760286,213051976,33380,599,1030,2290,3365,514,6751
45,5069517,1649760346,213051976,35790,604,1045,2338,3402,521,6987
46,5069524,1649760406,213051976,35790,614,1052,2382,3440,524,7066
47,5069531,1649760466,213051976,38151,618,1059,2418,3470,532,7489
48,5069538,1649760526,213051976,40516,624,1069,2454,3509,539,7665
49,5069545,1649760586,213051976,42846,628,1080,2493,3560,543,7958
50,5069552,1649760646,213051976,45106,638,1094,2537,3603,557,8163
51,5069559,1649760706,213051976,45106,655,1105,2582,3645,560,8327
52,5069566,1649760766,213051976,47289,668,1116,2622,3680,565,8496
53,5069573,1649760826,213051976,49399,676,1127,2654,3720,572,8673
54,5069580,1649760886,213051976,51546,685,1136,2688,3752,576,8859
55,5069587,1649760946,213051976,53640,694,1150,2730,3791,581,9037
56,5069594,1649761006,213051976,53640,700,1160,2770,3835,588,9244
57,5069601,1649761066,213051976,55735,704,1166,2805,3865,594,9410
58,5069608,1649761126,213051976,57852,707,1171,2840,3906,599,9576
59,5069615,1649761186,213051976,59907,712,1180,2866,3935,603,9742
60,5069622,1649761246,213051976,61800,718,1193,2901,3970,615,9850
61,5069629,1649761306,213051976,61800,726,1199,2937,4007,624,9919
62,5069636,1649761366,213051976,63362,729,1206,2959,4043,626,10038
63,5069643,1649761426,213051976,64832,734,1210,2984,4073,632,10129
64,5069650,1649761486,213051976,66379,735,1215,3003,4099,637,10208
65,5069657,1649761546,213051976,67942,736,1221,3027,4120,639,10329
66,5069664,1649761606,213051976,67942,746,1225,3056,4159,641,10426
67,5069671,1649761666,213051976,69404,752,1228,3080,4187,646,10611
68,5069678,1649761726,213051976,71000,758,1234,3107,4216,649,10741
69,5069685,1649761786,213051976,72529,768,1239,3140,4257,654,10876
70,5069692,1649761846,213051976,74250,772,1246,3170,4284,664,11029
71,5069699,1649761906,213051976,74250,774,1251,3193,4305,667,11151
72,5069706,1649761966,213051976,75999,777,1257,3219,4333,675,11284
73,5069713,1649762026,213051976,77728,786,1262,3242,4348,679,11398
74,5069720,1649762086,213051976,79364,792,1264,3270,4384,682,11436
75,5069727,1649762146,213051976,80984,795,1272,3302,4416,690,11595
76,5069734,1649762206,213051976,80984,804,1279,3328,4445,694,11639
77,5069741,1649762266,213051976,82150,809,1287,3349,4458,699,11816
78,5069748,1649762326,213051976,83238,812,1294,3389,4483,709,12107
79,5069755,1649762386,213051976,84251,820,1299,3419,4513,713,12231
80,5069762,1649762446,213051976,85223,824,1305,3440,4550,719,12369
81,5069769,1649762506,213051976,85223,833,1307,3476,4591,721,12519
82,5069776,1649762566,213051976,86147,835,1312,3501,4607,729,12655
83,5069783,1649762626,213051976,87041,839,1317,3534,4642,735,12784
84,5069790,1649762686,213051976,87982,845,1321,3566,4666,737,12828
85,5069797,1649762746,213051976,88876,848,1324,3582,4683,738,12927
86,5069804,1649762806,213051976,88876,849,1326,3611,4713,743,13121
87,5069811,1649762866,213051976,89816,853,1329,3635,4740,745,13234
88,5069818,1649762926,213051976,90708,860,1332,3663,4772,747,13345
89,5069825,1649762986,213051976,91575,867,1336,3682,4803,750,13484
90,5069832,1649763046,213051976,92464,870,1340,3707,4831,753,13584
91,5069839,1649763106,213051976,92464,873,1348,3726,4849,757,13671
92,5069846,1649763166,213051976,93304,876,1352,3753,4887,763,13767
93,5069853,1649763226,213051976,94078,879,1353,3774,4911,770,13848
94,5069860,1649763286,213051976,94823,882,1355,3794,4926,774,13876
95,5069867,1649763346,213051976,95708,885,1359,3809,4939,780,13975
96,5069874,1649763406,213051976,95708,888,1359,3833,4961,783,13995
97,5069881,1649763466,213051976,96669,892,1364,3848,4974,787,14211
98,5069888,1649763526,213051976,97613,894,1365,3869,4992,789,14322
99,5069895,1649763586,213051976,98553,898,1371,3891,5020,792,14419
100,5069902,1649763646,213051976,99480,900,1377,3918,5045,795,14522
101,5069909,1649763706,213051976,99480,902,1379,3944,5080,801,14634
102,5069916,1649763766,213051976,100430,905,1387,3968,5096,805,14755
103,5069923,1649763826,213051976,101360,910,1395,3994,5132,809,14858
104,5069930,1649763886,213051976,102326,914,1404,4019,5160,813,14903
105,5069937,1649763946,213051976,103316,915,1412,4045,5183,816,14995
106,5069944,1649764006,213051976,103316,920,1417,4064,5208,817,15173
107,5069951,1649764066,213051976,104384,923,1419,4082,5228,819,15256
108,5069958,1649764126,213051976,105514,926,1424,4106,5243,823,15343
109,5069965,1649764186,213051976,106468,928,1426,4126,5265,827,15442
110,5069972,1649764246,213051976,107114,931,1429,4146,5287,831,15508
111,5069979,1649764306,213051976,107114,934,1434,4166,5308,835,15531
112,5069986,1649764366,213051976,107638,942,1439,4177,5330,839,15588
113,5069993,1649764426,213051976,108052,946,1448,4193,5349,842,15626
114,5070000,1649764486,213051976,108435,950,1451,4212,5373,847,15675
115,5070007,1649764546,213051976,108786,961,1455,4229,5404,852,15708
116,5070014,1649764606,213051976,108786,970,1460,4248,5432,853,15741
117,5070021,1649764666,213051976,109109,973,1465,4261,5454,853,15776
118,5070028,1649764726,213051976,109407,975,1469,4275,5472,858,15799
119,5070035,1649764786,213051976,109704,979,1473,4291,5489,865,15831
120,5070042,1649764846,213051976,109961,983,1481,4303,5514,867,15852
121,5070049,1649764906,213051976,109961,986,1486,4316,5529,874,15870
122,5070056,1649764966,213051976,110229,993,1489,4328,5545,875,15914
123,5070063,1649765026,213051976,110494,997,1491,4343,5564,878,15938
124,5070070,1649765086,213051976,110761,999,1496,4360,5588,879,15954
125,5070077,1649765146,213051976,111017,1052,1496,4374,5608,882,15990
126,5070084,1649765206,213051976,111017,1056,1500,4386,5623,886,16000
127,5070091,1649765266,213051976,111293,1057,1503,4397,5639,888,16058
128,5070098,1649765326,213051976,111569,1060,1507,4411,5649,890,16075
129,5070105,1649765386,213051976,111817,1061,1510,4428,5674,890,16107
130,5070112,1649765446,213051976,112043,1064,1512,4442,5687,895,16131
131,5070119,1649765506,213051976,112043,1064,1514,4453,5699,896,16158
132,5070126,1649765566,213051976,112280,1071,1516,4465,5716,901,16182
133,5070133,1649765626,213051976,112498,1078,1519,4480,5732,902,16204
134,5070140,1649765686,213051976,112714,1078,1522,4490,5740,905,16212
135,5070147,1649765746,213051976,112919,1080,1525,4506,5762,906,16251
136,5070154,1649765806,213051976,112919,1083,1530,4519,5784,907,16289
137,5070161,1649765866,213051976,113127,1083,1532,4535,5805,911,16317
138,5070168,1649765926,213051976,113311,1086,1537,4549,5819,914,16342
139,5070175,1649765986,213051976,113521,1086,1541,4552,5824,918,16357
140,5070182,1649766046,213051976,113723,1086,1545,4563,5842,919,16382
141,5070189,1649766106,213051976,113723,1087,1547,4573,5853,919,16402
142,5070196,1649766166,213051976,113904,1092,1549,4588,5870,921,16434
143,5070203,1649766226,213051976,114106,1096,1550,4598,5885,922,16447
144,5070210,1649766286,213051976,114312,1103,1554,4609,5899,923,16469
145,5070217,1649766346,213051976,114505,1107,1556,4617,5907,923,16490
146,5070224,1649766406,213051976,114505,1115,1560,4639,5928,930,16511
147,5070231,1649766466,213051976,114949,1128,1566,4660,5960,933,16546
148,5070238,1649766526,213051976,115286,1134,1569,4681,5998,935,16602
149,5070245,1649766586,213051976,115602,1146,1576,4701,6024,941,16646
150,5070252,1649766646,213051976,115846,1150,1578,4720,6052,946,16685
151,5070259,1649766706,213051976,115846,1154,1580,4734,6069,952,16728
152,5070266,1649766766,213051976,116112,1161,1581,4755,6085,955,16762
153,5070273,1649766826,213051976,116358,1166,1586,4776,6114,961,16790
154,5070280,1649766886,213051976,116609,1172,1590,4791,6126,964,16802
155,5070287,1649766946,213051976,116846,1179,1596,4806,6151,970,16843
156,5070294,1649767006,213051976,116846,1186,1601,4821,6176,977,16884
157,5070301,1649767066,213051976,117103,1189,1604,4843,6216,979,16922
158,5070308,1649767126,213051976,117320,1195,1614,4863,6243,989,16958
159,5070315,1649767186,213051976,117529,1198,1620,4879,6265,993,16980
160,5070322,1649767246,213051976,117743,1201,1623,4889,6278,994,16996
161,5070329,1649767306,213051976,117743,1201,1625,4898,6296,997,17025
162,5070336,1649767366,213051976,117964,1203,1631,4910,6312,1001,17046
163,5070343,1649767426,213051976,118171,1206,1636,4927,6323,1004,17056
164,5070350,1649767486,213051976,118377,1211,1637,4941,6336,1005,17072
165,5070357,1649767546,213051976,118377,1215,1641,4966,6358,1011,17099
166,5070364,1649767606,213051976,118586,1219,1643,4985,6381,1012,17140
167,5070371,1649767666,213051976,118785,1221,1649,4999,6402,1014,17163
168,5070378,1649767726,213051976,119007,1225,1652,5008,6414,1016,17213
169,5070385,1649767786,213051976,119233,1229,1658,5027,6440,1022,17246
170,5070392,1649767846,213051976,119233,1234,1660,5038,6453,1024,17262
171,5070399,1649767906,213051976,119442,1236,1664,5055,6487,1024,17272
172,5070406,1649767966,213051976,119633,1247,1667,5067,6510,1027,17303
173,5070413,1649768026,213051976,119846,1254,1669,5088,6533,1029,17332
174,5070420,1649768086,213051976,120030,1257,1671,5100,6549,1033,17372
175,5070427,1649768146,213051976,120030,1261,1677,5118,6566,1037,17402
176,5070434,1649768206,213051976,120220,1269,1683,5129,6591,1037,17430
177,5070441,1649768266,213051976,120435,1271,1687,5144,6622,1041,17468
178,5070448,1649768326,213051976,120654,1275,1691,5164,6640,1044,17495
179,5070455,1649768386,213051976,120859,1276,1695,5180,6654,1047,17521
180,5070462,1649768446,213051976,120859,1279,1698,5203,6677,1052,17552
181,5070469,1649768506,213051976,121064,1281,1702,5212,6686,1054,17579
182,5070476,1649768566,213051976,121254,1286,1704,5229,6702,1056,17603
183,5070483,1649768626,213051976,121455,1292,1707,5245,6715,1060,17634
184,5070490,1649768686,213051976,121669,1297,1712,5257,6732,1064,17641
185,5070497,1649768746,213051976,121669,1299,1714,5274,6756,1066,17673
186,5070504,1649768806,213051976,121834,1301,1720,5284,6771,1069,17698
187,5070511,1649768866,213051976,122038,1306,1722,5303,6795,1075,17741
188,5070518,1649768926,213051976,122246,1308,1722,5326,6820,1079,17775
189,5070525,1649768986,213051976,122471,1312,1727,5335,6830,1083,17798
190,5070532,1649769046,213051976,122471,1313,1728,5346,6836,1083,17805
191,5070539,1649769106,213051976,122658,1314,1732,5359,6855,1084,17833
192,5070546,1649769166,213051976,122888,1316,1734,5374,6878,1085,17858
193,5070553,1649769226,213051976,123136,1322,1735,5389,6903,1088,17889
194,5070560,1649769286,213051976,123361,1326,1736,5404,6922,1092,17903
195,5070567,1649769346,213051976,123361,1331,1739,5415,6934,1095,17931
196,5070574,1649769406,213051976,123608,1335,1741,5435,6961,1096,17947
197,5070581,1649769466,213051976,123857,1337,1744,5451,6985,1098,18012
198,5070588,1649769526,213051976,124086,1341,1747,5464,6996,1105,18050
199,5070595,1649769586,213051976,124317,1345,1748,5484,7026,1107,18087
200,5070602,1649769646,213051976,124317,1348,1751,5500,7042,1109,18107
201,5070609,1649769706,213051976,124526,1350,1753,5513,7053,1114,18142
202,5070616,1649769766,213051976,124730,1354,1758,5525,7076,1116,18166
203,5070623,1649769826,213051976,124940,1356,1759,5541,7090,1121,18173
204,5070630,1649769886,213051976,125165,1358,1759,5557,7119,1125,18201
205,5070637,1649769946,213051976,125165,1361,1761,5567,7141,1127,18231
206,5070644,1649770006,213051976,125394,1361,1762,5592,7190,1130,18240
207,5070651,1649770066,213051976,125628,1368,1769,5612,7206,1133,18295
208,5070658,1649770126,213051976,125838,1371,1776,5629,7230,1140,18355
209,5070665,1649770186,213051976,126023,1377,1782,5645,7253,1141,18380
210,5070672,1649770246,213051976,126023,1381,1784,5658,7271,1146,18399
211,5070679,1649770306,213051976,126227,1388,1788,5672,7289,1150,18425
212,5070686,1649770366,213051976,126424,1391,1790,5685,7306,1152,18433
213,5070693,1649770426,213051976,126607,1394,1794,5707,7323,1154,18477
214,5070700,1649770486,213051976,126607,1396,1799,5723,7338,1157,18482
215,5070707,1649770546,213051976,126814,1397,1803,5733,7355,1161,18508
216,5070714,1649770606,213051976,126982,1400,1804,5744,7369,1163,18523
217,5070721,1649770666,213051976,127156,1403,1805,5756,7384,1169,18555
218,5070728,1649770726,213051976,127329,1409,1808,5764,7393,1172,18576
219,5070735,1649770786,213051976,127329,1409,1812,5779,7405,1173,18605
220,5070742,1649770846,213051976,127525,1412,1814,5794,7427,1176,18625
221,5070749,1649770906,213051976,127707,1414,1815,5807,7447,1180,18645
222,5070756,1649770966,213051976,127906,1418,1818,5823,7465,1181,18700
223,5070763,1649771026,213051976,128110,1421,1821,5842,7489,1181,18729
224,5070770,1649771086,213051976,128110,1425,1824,5853,7506,1183,18734
225,5070777,1649771146,213051976,128281,1428,1828,5867,7523,1186,18756
226,5070784,1649771206,213051976,128478,1430,1829,5889,7543,1190,18776
227,5070791,1649771266,213051976,128667,1433,1835,5899,7566,1195,18823
228,5070798,1649771326,213051976,128867,1438,1840,5915,7586,1200,18851
229,5070805,1649771386,213051976,128867,1442,1847,5931,7613,1204,18894
230,5070812,1649771446,213051976,129064,1443,1850,5948,7633,1206,18921
231,5070819,1649771506,213051976,129246,1446,1854,5957,7649,1211,18937
232,5070826,1649771566,213051976,129436,1449,1855,5974,7675,1212,18947
233,5070833,1649771626,213051976,129618,1449,1860,5982,7684,1212,18976
234,5070840,1649771686,213051976,129618,1451,1862,5991,7696,1216,19005
235,5070847,1649771746,213051976,129807,1451,1865,6002,7713,1219,19030
236,5070854,1649771806,213051976,129984,1454,1867,6010,7724,1221,19056
237,5070861,1649771866,213051976,130142,1458,1872,6031,7745,1221,19100
238,5070868,1649771926,213051976,130320,1460,1873,6042,7773,1225,19112
239,5070875,1649771986,213051976,130320,1462,1875,6062,7804,1234,19160
240,5070882,1649772046,213051976,130512,1465,1876,6076,7830,1237,19189
241,5070889,1649772106,213051976,130693,1467,1880,6092,7850,1240,19193
242,5070896,1649772166,213051976,130877,1471,1883,6109,7865,1245,19227
243,5070903,1649772226,213051976,131045,1478,1887,6125,7877,1249,19262
244,5070910,1649772286,213051976,131045,1484,1890,6138,7891,1252,19294
245,5070917,1649772346,213051976,131209,1490,1892,6156,7919,1254,19325
246,5070924,1649772406,213051976,131394,1498,1894,6174,7937,1257,19340
247,5070931,1649772466,213051976,131578,1503,1897,6187,7959,1258,19371
248,5070938,1649772526,213051976,131768,1507,1902,6199,7976,1264,19397
249,5070945,1649772586,213051976,131768,1510,1904,6217,7997,1266,19424
250,5070952,1649772646,213051976,131953,1511,1907,6238,8018,1270,19460
251,5070959,1649772706,213051976,132141,1514,1912,6253,8039,1273,19482
252,5070966,1649772766,213051976,132331,1515,1912,6268,8057,1277,19509
253,5070973,1649772826,213051976,132526,1521,1916,6287,8088,1281,19524
254,5070980,1649772886,213051976,132526,1526,1921,6295,8102,1285,19552
255,5070987,1649772946,213051976,132723,1530,1923,6316,8127,1289,19575
256,5070994,1649773006,213051976,132890,1534,1925,6330,8141,1291,19608
257,5071001,1649773066,213051976,133111,1535,1928,6349,8167,1291,19641
